,funded_year,amount,company_name,company_market,investor_name,log_amount
1,1982,724000,Ikro,,CRP Companhia de ParticipacŒÍ_oŒÍí‹es,13.49254667
2,1983,94000,Polimax,,CRP Companhia de ParticipacŒÍ_oŒÍí‹es,11.45105006
3,1985,666000,Digitel,,CRP Companhia de ParticipacŒÍ_oŒÍí‹es,13.40904495
4,1987,2500000,Cisco,Software,Sequoia Capital,14.73180129
5,1990,17550000,Market Wire,Advertising,Hummer Winblad Venture Partners,16.68056451
6,1990,17550000,Market Wire,Advertising,Stanford University,16.68056451
7,1990,17550000,Market Wire,Advertising,Sequoia Capital,16.68056451
8,1990,17550000,Market Wire,Advertising,Montreux Equity Partners,16.68056451
9,1990,17550000,Market Wire,Advertising,Osprey Ventures,16.68056451
10,1990,17550000,Market Wire,Advertising,Mindful Investors,16.68056451
11,1990,17550000,Market Wire,Advertising,Perkins Coie,16.68056451
12,1992,2.00E+06,Viewpoint Digital,Software,Motorola Solutions Venture Capital,14.50865774
13,1994,1.30E+07,Viewpoint Digital,Software,Intel,16.38045992
14,1994,1.30E+07,Viewpoint Digital,Software,Hummer Winblad,16.38045992
15,1994,1.30E+07,Viewpoint Digital,Software,Kleiner Perkins Caufield & Byers,16.38045992
16,1995,8.00E+06,Amazon,Consumer Goods,Kleiner Perkins Caufield & Byers,15.8949521
17,1996,4.20E+07,UTStarcom,Internet,SAIF Partners,17.55318018
18,1997,5.00E+07,UTStarcom,Internet,SAIF Partners,17.72753356
19,1998,2.50E+07,GeoCities,Web Hosting,SoftBank Capital,17.03438638
20,1998,2.50E+07,GeoCities,Web Hosting,Yahoo!,17.03438638
21,1999,9.10E+07,Morningstar,Investment Management,SoftBank,18.32637006
22,2000,1.20E+08,Opsware,Software,Amerindo Investment Advisors,18.6030023
23,2000,1.20E+08,Opsware,Software,Benchmark,18.6030023
24,2000,1.20E+08,Opsware,Software,Integral Capital Partners,18.6030023
25,2000,1.20E+08,Opsware,Software,Capital Group,18.6030023
26,2000,1.20E+08,Opsware,Software,The Aurora Funds,18.6030023
27,2001,9.00E+07,PayPal,Payments,Bankinter,18.31532023
28,2001,9.00E+07,PayPal,Payments,Providian Financial,18.31532023
29,2001,9.00E+07,PayPal,Payments,eBank,18.31532023
30,2001,9.00E+07,PayPal,Payments,ING Group,18.31532023
31,2001,9.00E+07,PayPal,Payments,Crí_Œ©dit Agricole Private Equity,18.31532023
32,2002,2.00E+08,XM Radio,News,Hearst Ventures,19.11382792
33,2003,7.50E+07,Archipelago,E-Commerce,General Atlantic,18.13299867
34,2004,1.10E+08,eHarmony,Curated Web,Tuputele Ventures,18.51599092
35,2004,1.10E+08,eHarmony,Curated Web,Sequoia Capital,18.51599092
36,2004,1.10E+08,eHarmony,Curated Web,Technology Crossover Ventures,18.51599092
37,2005,1.00E+09,Alibaba,E-Commerce,Yahoo!,20.72326584
38,2005,1.00E+09,AOL,Content Creators,Google,20.72326584
39,2006,4.22E+08,Abril,,Naspers,19.86051587
40,2007,4.00E+08,Brash Entertainment,Games,New York Life Capital Partners,19.80697511
41,2007,4.00E+08,Brash Entertainment,Games,ABRY Partners,19.80697511
42,2007,4.00E+08,Brash Entertainment,Games,PPM America Capital Partners,19.80697511
43,2008,3.20E+09,Clearwire,Internet,Intel,21.88641665
44,2008,3.20E+09,Clearwire,Internet,Time Warner,21.88641665
45,2008,3.20E+09,Clearwire,Internet,Comcast,21.88641665
46,2008,3.20E+09,Clearwire,Internet,Google,21.88641665
47,2008,3.20E+09,Clearwire,Internet,BrightHouse,21.88641665
48,2009,1.50E+09,Clearwire,Internet,BrightHouse,21.12873095
49,2009,1.50E+09,Clearwire,Internet,Eagle River Holdings,21.12873095
50,2009,1.50E+09,Clearwire,Internet,Intel,21.12873095
51,2009,1.50E+09,Clearwire,Internet,Sprint Nextel,21.12873095
52,2009,1.50E+09,Clearwire,Internet,Comcast,21.12873095
53,2009,1.50E+09,Clearwire,Internet,Time Warner,21.12873095
54,2010,5.65E+08,Vivint,Security,Goldman Sachs,20.15233629
55,2011,1.50E+09,Facebook,Communities,Goldman Sachs,21.12873095
56,2011,1.50E+09,Facebook,Communities,Digital Sky Technologies,21.12873095
57,2012,1.05E+09,Wave Broadband,Internet,Oak Hill Capital Partners,20.772056
58,2012,1.05E+09,Wave Broadband,Internet,GI Partners,20.772056
59,2013,2.60E+09,sigmacare,Health and Wellness,Marlin Equity Partners,21.67877728
60,2014,5.80E+09,Sberbank,Finance,Russia's central bank,22.48112375